code,interlevel,location,original
012811020,Bgy,Tabtabagan,True
012811021,Bgy,Valenciano (Pob.),False
012811021,Bgy,Valenciano,True
012811022,Bgy,Binacag,True
012812000,City,LAOAG,True
012812001,Bgy,Apaya,False
012812001,Bgy,"Bgy. No. 42, Apaya",True
012812001,Bgy,Bgy. No. 42,False
012812002,Bgy,Bgy. No. 36,False
012812002,Bgy,Araniw,False
012812002,Bgy,"Bgy. No. 36, Araniw",True
012812003,Bgy,"Bgy. No. 56-A, Bacsil North",True
012812003,Bgy,Bgy. No. 56-A,False
012812003,Bgy,Bacsil North,False
012812004,Bgy,Bgy. No. 56-B,False
012812004,Bgy,"Bgy. No. 56-B, Bacsil South",True
012812004,Bgy,Bacsil South,False
012812005,Bgy,Bgy. No. 41,False
012812005,Bgy,Balacad,False
012812005,Bgy,"Bgy. No. 41, Balacad",True
012812006,Bgy,Bgy. No. 40,False
012812006,Bgy,Balatong,False
012812006,Bgy,"Bgy. No. 40, Balatong",True
012812007,Bgy,"Bgy. No. 55-A, Barit-Pandan",True
012812007,Bgy,Barit-Pandan,False
012812007,Bgy,Bgy. No. 55-A,False
012812008,Bgy,Bengcag,False
012812008,Bgy,Bgy. No. 47,False
012812008,Bgy,"Bgy. No. 47, Bengcag",True
012812009,Bgy,Bgy. No. 50,False
012812009,Bgy,Buttong,False
012812009,Bgy,"Bgy. No. 50, Buttong",True
012812010,Bgy,Bgy. No. 60-A,False
012812010,Bgy,Caaoacan,False
012812010,Bgy,"Bgy. No. 60-A, Caaoacan",True
012812011,Bgy,Cabungaan North,False
012812011,Bgy,"Bry. No. 48-A, Cabungaan North",True
012812011,Bgy,Bry. No. 48-A,False
012812012,Bgy,Bgy. No. 48-B,False
012812012,Bgy,Cabungaan South,False
012812012,Bgy,"Bgy. No. 48-B, Cabungaan South",True
012812013,Bgy,"Bgy. No. 37, Calayab",True
012812013,Bgy,Bgy. No. 37,False
012812013,Bgy,Calayab,False
012812014,Bgy,"Bgy. No. 54-B, Camangaan",True
012812014,Bgy,Bgy. No. 54-B,False
012812014,Bgy,Camangaan,False
012812015,Bgy,Casili,False
012812015,Bgy,"Bgy. No. 58, Casili",True
012812015,Bgy,Bgy. No. 58,False
012812016,Bgy,Bgy. No. 61,False
012812016,Bgy,Cataban,False
012812016,Bgy,"Bgy. No. 61, Cataban",True
012812017,Bgy,"Bgy. No. 43, Cavit",True
012812017,Bgy,Bgy. No. 43,False
012812017,Bgy,Cavit,False
012812019,Bgy,Darayday,False
012812019,Bgy,"Bgy. No. 49-A, Darayday",True
012812019,Bgy,Bgy. No. 49-A,False
012812020,Bgy,Bgy. No. 59-B,False
012812020,Bgy,Dibua North,False
012812020,Bgy,"Bgy. No. 59-B, Dibua North",True
012812021,Bgy,"Bgy. No. 59-A, Dibua South",True
012812021,Bgy,Bgy. No. 59-A,False
012812021,Bgy,Dibua South,False
012812022,Bgy,Bgy. No. 34-B,False
012812022,Bgy,"Bgy. No. 34-B, Gabu Norte East",True
012812022,Bgy,Gabu Norte East,False
012812023,Bgy,Bgy. No. 34-A,False
