,location,code,PSGC,Municipality/City,Poverty
1309,SAN ROQUE,84820000,84820000.0,San Roque,53.4
1310,SAN VICENTE,84821000,84821000.0,San Vicente,53.2
1311,SILVINO LOBOS,84822000,84822000.0,Silvino Lobos,78.5
1312,VICTORIA,84823000,84823000.0,Victoria,42.3
1313,ALIAGA,34901000,34901000.0,Aliaga,16.4
1314,BONGABON,34902000,34902000.0,Bongabon,14.8
1315,CABANATUAN,34903000,34903000.0,Cabanatuan City,12.4
1316,CABIAO,34904000,34904000.0,Cabiao,14.8
1317,CARRANGLAN,34905000,34905000.0,Carranglan,17.5
1318,CUYAPO,34906000,34906000.0,Cuyapo,21.4
1319,GABALDON,34907000,34907000.0,Gabaldon,17.8
1320,GABALDON,34907000,34907000.0,Gabaldon,17.8
1321,BITULOK & SABANI,34907000,34907000.0,Gabaldon,17.8
1322,BITULOK & SABANI,34907000,34907000.0,Gabaldon,17.8
1323,GAPAN,34908000,34908000.0,Gapan City,14.6
1324,GENERAL MAMERTO NATIVIDAD,34909000,34909000.0,General Mamerto Natividad,16.7
1325,GENERAL TINIO,34910000,34910000.0,General Tinio,14.9
1326,GENERAL TINIO,34910000,34910000.0,General Tinio,14.9
1327,PAPAYA,34910000,34910000.0,General Tinio,14.9
1328,PAPAYA,34910000,34910000.0,General Tinio,14.9
1329,GUIMBA,34911000,34911000.0,Guimba,18.9
1330,JAEN,34912000,34912000.0,Jaen,17.0
1331,LAUR,34913000,34913000.0,Laur,21.0
1332,LICAB,34914000,34914000.0,Licab,18.6
1333,LLANERA,34915000,34915000.0,Llanera,13.0
1334,LUPAO,34916000,34916000.0,Lupao,20.4
1335,MUÑOZ,34917000,34917000.0,Muñoz City,14.1
1336,NAMPICUAN,34918000,34918000.0,Nampicuan,19.1
1337,PALAYAN,34919000,34919000.0,Palayan City,14.5
1338,PANTABANGAN,34920000,34920000.0,Pantabangan,24.9
1339,PEÑARANDA,34921000,34921000.0,Peñaranda,13.7
1340,QUEZON,34922000,34922000.0,Quezon,18.0
1341,RIZAL,34923000,34923000.0,Rizal,15.2
1342,SAN ANTONIO,34924000,34924000.0,San Antonio,14.8
1343,SAN ISIDRO,34925000,34925000.0,San Isidro,10.2
1344,SAN JOSE,34926000,34926000.0,San Jose City,13.2
1345,SAN LEONARDO,34927000,34927000.0,San Leonardo,15.8
1346,SANTA ROSA,34928000,34928000.0,Santa Rosa,13.3
1347,SANTO DOMINGO,34929000,34929000.0,Santo Domingo,14.3
1348,TALAVERA,34930000,34930000.0,Talavera,13.0
1349,TALUGTUG,34931000,34931000.0,Talugtug,23.9
1350,ZARAGOZA,34932000,34932000.0,Zaragoza,13.2
1351,ALFONSO CASTAÑEDA,25015000,25015000.0,Alfonso Castaneda,19.7
1352,AMBAGUIO,25001000,25001000.0,Ambaguio,23.9
1353,ARITAO,25002000,25002000.0,Aritao,16.5
1354,BAGABAG,25003000,25003000.0,Bagabag,8.7
1355,BAMBANG,25004000,25004000.0,Bambang,8.4
1356,BAYOMBONG,25005000,25005000.0,Bayombong,6.3
1357,DIADI,25006000,25006000.0,Diadi,15.0
1358,DUPAX DEL NORTE,25007000,25007000.0,Dupax del Norte,12.8
1359,DUPAX DEL SUR,25008000,25008000.0,Dupax del Sur,14.4
1360,KASIBU,25009000,25009000.0,Kasibu,17.8
1361,KAYAPA,25010000,25010000.0,Kayapa,21.1
1362,QUEZON,25011000,25011000.0,Quezon,13.3
1363,SANTA FE,25012000,25012000.0,Santa Fe,15.1
1364,SOLANO,25013000,25013000.0,Solano,6.6
1365,VILLAVERDE,25014000,25014000.0,Villaverde,9.8
1366,ABRA DE ILOG,175101000,175101000.0,Abra de Ilog,34.8
1367,CALINTAAN,175102000,175102000.0,Calintaan,29.8
1368,LOOC,175103000,175103000.0,Looc,23.1
1369,LUBANG,175104000,175104000.0,Lubang,14.8
1370,MAGSAYSAY,175105000,175105000.0,Magsaysay,41.4
1371,MAMBURAO,175106000,175106000.0,Mamburao,21.1
